#,Company,Role,Topic,Sub-topic,Difficulty,Round,Question
18,MountBlue,SDE - Q1,Java and OOP,Spring Boot & Microservices,Hard,R1 - Technical,"Explain: (a) Spring vs Spring Boot — why is Spring Boot preferred, covering auto-configuration, embedded server, and starters. (b) ApplicationContext in Spring Boot — how it manages beans and how it differs from BeanFactory. (c) @Transactional annotation — how it works internally via AOP proxy, propagation levels, and rollback rules. (d) MDC (Mapped Diagnostic Context) — what it is and how it is used in distributed logging and tracing. (e) Microservices architecture — explain the pattern, inter-service communication (REST, gRPC, messaging), and share your implementation experience."
19,MountBlue,SDE - Q1,Java and OOP,Functional Java & Design Concepts,Medium,R1 - Technical,"Explain: (a) Callbacks in Java — how to implement using interfaces or lambdas with a code example. (b) Prototype pattern — when to use it and how Java's clone() works, covering shallow vs deep copy. (c) High cohesion in design — what it means and why it matters for maintainability. (d) Java 8 functional interfaces — give examples of Predicate, Function, Consumer, and Supplier with short code snippets. Connect how SAM interfaces, callbacks, and the Stream API relate to each other."
20,MountBlue,SDE - Q1,Behavioural,Introduction & Career Goals,Easy,R2 - Technical,"Prepare structured 60-to-90-second answers for: (a) Describe yourself and your background — cover education, key technical skills, and what excites you about software engineering. (b) What are your 5-year career goals — address technical depth, leadership ambitions, and domain interests. (c) Tell us about your family background — keep it brief and professional. (d) What activities did you participate in during college — connect them to teamwork, problem-solving, or leadership. Use the STAR format (Situation, Task, Action, Result) wherever applicable."
1,Techmojo,Backend Engineer,Kafka and Data Engineering,Kafka Fundamentals,Medium,R1 - Technical,"Explain Apache Kafka end-to-end: what are topics, brokers, producers, consumers, partitions, and consumer groups? How does Kafka ensure message ordering within a partition? What is the role of offsets and how do they enable fault tolerance and replayability?"
2,Techmojo,Backend Engineer,Kafka and Data Engineering,Kafka Partitioning and Consumer Groups,Hard,R2 - Technical,How does Kafka partitioning work and why is it used for scalability? Explain the relationship between partitions and consumer groups. What happens when a consumer goes down — how does Kafka handle rebalancing? Also explain idempotency in Kafka producers and why it matters.
3,Techmojo,Backend Engineer,Java and OOP,"Collections — HashMap, LinkedHashMap and ConcurrentHashMap",Medium,R1 - Technical,"Explain the internal working of a HashMap in Java: how does hashing work, what happens during collisions, and how does it resize? What is the difference between HashMap, LinkedHashMap, ConcurrentHashMap, and Hashtable? When would you choose each? Also explain the difference between Comparable and Comparator interfaces."
4,Techmojo,Backend Engineer,Java and OOP,Java Streams API,Medium,R1 - Technical,"How do you use the Java Streams API — specifically filter(), map(), collect(), reduce(), and flatMap()? Write a code snippet using Streams to process a list of employees: (a) filter employees in a given department, (b) calculate total salary department-wise, (c) collect names sorted alphabetically. What are the performance considerations of Streams vs traditional loops?"
5,Techmojo,Backend Engineer,Java and OOP,Multithreading and ExecutorService,Hard,R1 - Technical,"How does multithreading work internally in Java? Explain the difference between synchronized, volatile, and ReentrantLock — when should you use each? What is the purpose of ExecutorService and how does it manage thread pools? Also predict the output of: int x=5; int y=x++; int z=++x+y++; System.out.println(x+"", ""+y+"", ""+z);"
6,Techmojo,Backend Engineer,Java and OOP,Java Annotations and Spring Boot Basics,Medium,R1 - Technical,"Explain commonly used Java and Spring Boot annotations: @Override, @Deprecated, @SuppressWarnings, @Component, @Service, @Autowired, @RestController, @Configuration, and @Bean. What is the difference between marker, single-value, and full annotations? Also explain Dependency Injection in Spring Boot — how does the ApplicationContext manage beans and resolve conflicts when multiple implementations exist?"
7,Techmojo,Backend Engineer,Java and OOP,"Spring Boot — Transactions, Singleton and Design Patterns",Hard,R2 - Technical,"Explain transaction management in Spring: how does @Transactional work, what are propagation levels, and when does a rollback occur? Where is the Singleton pattern used in Java and Spring? Explain the Singleton Design Pattern and how to make it thread-safe. Also explain how Java Streams are used in a Spring Boot application with a practical example."
8,Techmojo,Backend Engineer,Spring Boot and Microservices,Inter-service Communication and Fault Tolerance,Hard,R1 - Technical,"In a microservices-based application, how would you design inter-service communication and ensure fault tolerance? Compare REST, gRPC, and message queues such as Kafka and RabbitMQ. How would you implement a circuit breaker, retry mechanism, and service discovery using Spring Cloud, Eureka, and Resilience4j? How do you call a third-party API from Java using RestTemplate, WebClient, or Feign — including retry logic up to 3 times on failure?"
9,Techmojo,Backend Engineer,Spring Boot and Microservices,REST API Design Principles,Medium,R2 - Technical,"What are the key REST API design principles — idempotency, statelessness, versioning, and correct use of HTTP methods? Describe how you would design and implement a Java HTTP endpoint that calls an external API, processes the JSON response, and filters results based on conditions such as population greater than a threshold. What HTTP status codes apply to each scenario?"
10,Techmojo,Backend Engineer,Spring Boot and Microservices,AWS Services for Backend,Hard,R3 - Technical,"Which AWS services would you use to build a scalable backend system? Cover compute (EC2, Lambda, ECS), storage (S3, RDS, DynamoDB), messaging (SQS, SNS), API management (API Gateway), and monitoring (CloudWatch). How would you design for high availability and auto-scaling? Where would you use managed Kafka (MSK) vs SQS for event-driven architecture?"
11,Techmojo,Backend Engineer,High Level Design,Notification Service,Hard,R2 - Technical,"Design a scalable, fault-tolerant notification service. Walk through: core components (API layer, message queue, delivery workers), data flow, delivery channels (push, email, SMS), deduplication, retry logic, and strategies for ensuring high throughput. How would you handle millions of notifications per day without dropping messages?"
12,Techmojo,Backend Engineer,High Level Design,Rewards Microservice and Payment System,Hard,R2 - Technical,"Design two systems: (a) A rewards microservice for an e-commerce platform — cover how rewards are earned, stored, redeemed, and expired. What databases, caching, and consistency guarantees would you use? (b) A payment application — cover transaction flow, idempotency, failure handling, ledger design, and fraud detection. How do you ensure exactly-once payment processing?"
13,Techmojo,Backend Engineer,High Level Design,Rate Limiter and Typeahead Search,Hard,R2 - Technical,"Design a rate limiter: explain the token bucket and leaky bucket algorithms, where the rate limiter sits in the architecture (API gateway vs in-process), how to handle distributed rate limiting across multiple servers using Redis, and how to communicate throttling to clients. Also design a Google Typeahead (autocomplete) system: cover trie vs ranked prefix search, caching, and how to handle millions of concurrent queries."
14,Techmojo,Backend Engineer,High Level Design,Web Crawler,Hard,R2 - Technical,"Design a web crawler similar to Google. Cover: URL frontier (BFS queue), distributed fetcher workers, robots.txt compliance, duplicate URL detection using a Bloom filter, HTML parsing, content storage, and politeness policies. How do you scale to crawl billions of pages? How do you avoid crawler traps and handle dynamic JavaScript-rendered content?"
15,Techmojo,Backend Engineer,DSA,Binary Search Variants,Hard,R1 - Technical,"Solve these binary search problems: (a) Find the first and last occurrence of a target in a sorted array. (b) Search for a target in a rotated sorted array of distinct integers. (c) Given a sorted m x n matrix where each row is sorted and the first element of each row is greater than the last element of the previous row, determine if a target exists. For each, state time complexity O(log n) and explain how the binary search condition changes."
16,Techmojo,Backend Engineer,DSA,Arrays — Sliding Window and Sorting,Medium,R1 - Technical,"Solve: (a) Given an array, a window size k, and a target t, use the sliding window technique to calculate the average of every contiguous subarray of size k and return a boolean array where true means the average is strictly greater than t. (b) Sort an array and find the maximum difference between any two consecutive elements. (c) Find the first non-repeating element in an array — state time and space complexity for each."
17,Techmojo,Backend Engineer,DSA,"Graphs — BFS, DFS and Cycle Detection",Hard,R2 - Technical,"Solve: (a) Given a network of nodes, use BFS to print all nodes level by level where each level is printed in ascending order. (b) Given an undirected graph, detect whether it contains a cycle using either DFS or Union-Find. (c) Given a 2D matrix of letters, use DFS or BFS to traverse all connected occurrences of a selected character and mark the region with a unique identifier. State time complexity for each and explain adjacency list vs matrix tradeoffs."
18,Techmojo,Backend Engineer,DSA,"Stacks, Priority Queue and DP",Hard,R1 - Technical,"Solve: (a) Valid Parentheses — given a string of brackets, determine if it is valid using a stack. (b) Connect n ropes of different lengths into one rope with minimum cost using a min-heap (priority queue) — the cost of connecting two ropes equals the sum of their lengths. (c) Subset Sum — given an array and target, determine if any subset sums to the target using DP. (d) Given an array, use pick or non-pick decisions to maximise a selection objective. State time and space complexity for each."
19,Techmojo,Backend Engineer,DSA,Strings — Roman Numerals and Sorting,Medium,R1 - Assessment,"Solve: (a) Convert a Roman numeral string to an integer (I=1, V=5, X=10, L=50, C=100, D=500, M=1000 — subtract if smaller value precedes larger). (b) Given a list of strings like ['John X', 'John V', 'John IX'], sort them by the integer value of the Roman numeral component. (c) Check whether a given string contains only unique characters — write the function and state time and space complexity."
20,Techmojo,Backend Engineer,DSA,Trees — Level Order Traversal,Medium,R1 - Technical,"Given a binary tree, write a function to return the level order traversal (BFS) of the tree as a list of lists. How would you modify your approach if the tree is extremely deep or unbalanced? Explain the difference between BFS and DFS traversal and give real-world scenarios where you would prefer each."
21,Techmojo,Backend Engineer,Database and SQL,SQL Joins and Filtering,Medium,R1 - Technical,"Explain the difference between INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL OUTER JOIN with examples. Write an SQL query to list all customers who placed orders in the last 30 days — include customers who have never placed an order and explain your join choice. Also write a query using aggregate functions with GROUP BY to summarise data by a category."
22,Techmojo,Backend Engineer,Database and SQL,SQL Ordering and Stored Procedures,Medium,R2 - Technical,"Write SQL queries for: (a) Display employee records ordered by salary descending, then by name ascending, then by ID ascending for ties. (b) Order employee records by the last three letters of the employee name, then by salary ascending, then by ID ascending. (c) Write a stored procedure that takes a customer_id as input and returns the total order amount from an Orders table — explain how stored procedures improve performance and security."
23,Techmojo,Backend Engineer,Database and SQL,WHERE vs HAVING and Query Execution,Medium,R1 - Technical,"What is the difference between WHERE and HAVING clauses in SQL? How does SQL query execution order — FROM, JOIN, WHERE, GROUP BY, HAVING, SELECT, ORDER BY — affect their behaviour? Provide an example where using WHERE instead of HAVING would cause incorrect results, and vice versa."
24,Techmojo,Backend Engineer,Behavioural,"Salary, Policies and Career Expectations",Easy,R3 - Behavioral,"Prepare clear answers for: (a) What are your salary expectations — research the market range for your experience level and state a well-justified number or band. (b) Are you comfortable with the company work policies and joining formalities — address notice period, relocation, shift timings, or any constraints upfront. (c) Walk through your current project architecture highlighting your key contributions and technical decisions."
25,Techmojo,Backend Engineer,Low Level Design,String Coupon Scoring and Prime Split,Hard,R2 - Technical,"Solve two coding problems: (a) Given a coupon code string, calculate its total value where each character contributes (frequency of character * index raised to a power) — implement this efficiently and discuss time complexity. (b) Given a string of digits, determine if it can be split into contiguous substrings where each substring represents a prime number and no substring has leading zeros — return true or false using DP."
1,Flipkart,Backend Engineer,DSA,Two Sum and Array Pairs,Medium,R1 - Technical,Solve the Two Sum problem three ways: (a) Brute force — check all pairs in O(n2). (b) Optimised using a HashMap — store each number and check if the complement exists in O(n). (c) Two-pointer approach on a sorted array in O(n). Also solve: find the first non-repeating element in an array and find a pair using HashMap directly. For each approach state time and space complexity.
2,Flipkart,Backend Engineer,DSA,Sliding Window and Subarray Problems,Hard,R1 - Technical,"Solve: (a) Minimum window substring — given string s and pattern p, find the smallest window in s containing all characters of p using a sliding window. (b) Minimum length subarray whose sum is greater than or equal to k. (c) Longest subarray of consecutive numbers in increasing order. For each, explain the two-pointer or sliding window strategy and state O(n) time complexity."
3,Flipkart,Backend Engineer,DSA,Prefix Sum and Range Queries,Medium,R1 - Technical,"Given an array of integers and multiple queries where each query provides indices L and R, return the sum of elements between L and R inclusive. Optimise using a prefix sum array so each query is answered in O(1) after O(n) preprocessing. Walk through the construction of the prefix array and explain how to handle edge cases like L=0."
4,Flipkart,Backend Engineer,DSA,Binary Search on Answer,Hard,R1 - Technical,"Solve two binary search on answer problems: (a) Ship within D days — given weights[] and days, find the minimum ship capacity so all weights are transported in order within the given days. (b) Painter partition — divide an array into K contiguous partitions to minimise the maximum partition sum. For each, explain how to define the search space, write the feasibility check function, and state O(n log n) complexity."
5,Flipkart,Backend Engineer,DSA,Dynamic Programming — Trapping Rain Water,Hard,R1 - Technical,"Solve the Trapping Rain Water problem: given an array of non-negative integers representing wall heights, calculate the total water trapped after raining. Solve it three ways: (a) Brute force using nested loops in O(n2). (b) Precomputed left-max and right-max arrays in O(n) time and O(n) space. (c) Two-pointer approach in O(n) time and O(1) space. Walk through an example and explain why the two-pointer approach is optimal."
6,Flipkart,Backend Engineer,DSA,Stack and Nearest Greater Element,Medium,R1 - Technical,"Solve: (a) Valid Parentheses — given a string of brackets (){}[], determine if it is valid using a stack. (b) Nearest greater element — given an array, for each element find the maximum element closest to each element's index. Explain how a monotonic stack solves the nearest greater problem in O(n) compared to O(n2) brute force. State time and space complexity for each."
7,Flipkart,Backend Engineer,Java and OOP,OOP Principles and Core Concepts,Medium,R1 - Technical,"Explain core Java OOP concepts with code examples: (a) Abstraction vs Inheritance — what is the conceptual difference and when do you use each? (b) Access modifiers — public, private, protected, and package-private — and how each controls visibility within packages and subclasses. (c) Explain the meaning of each keyword in public static void main(String[] args). (d) Core Java collections — when do you use ArrayList vs LinkedList vs HashMap?"
8,Flipkart,Backend Engineer,Java and OOP,Exception Handling,Medium,R1 - Technical,"Explain Java exception handling in depth: (a) Difference between checked and unchecked exceptions — give two examples of each. (b) How try, catch, finally, throw, and throws work together with a code example. (c) Can you write a finally block without catch? When does finally NOT execute? (d) Explain the purpose of a final block vs the final keyword vs the finally block — three distinct concepts with examples."
9,Flipkart,Backend Engineer,Java and OOP,"HashMap — Iteration, hashCode and equals",Medium,R1 - Technical,"Explain: (a) How to iterate over a HashMap in Java — using entrySet(), keySet(), values(), and forEach with a lambda. (b) The hashCode() and equals() contract — what is the contract, why must you override both together, and what breaks if you override only one? (c) The internal working of HashMap — hashing, collision resolution via chaining, and resizing behaviour."
10,Flipkart,Backend Engineer,Java and OOP,Spring Boot — Annotations and Auto-configuration,Medium,R1 - Technical,"Explain Spring Boot fundamentals: (a) Commonly used annotations — @RestController, @Service, @Repository, @Autowired, @Component — and their purposes. (b) How Spring Boot auto-configuration works and how it reduces boilerplate configuration using @SpringBootApplication and conditional beans. (c) How to build REST APIs using Java and Spring Boot — explain the full request lifecycle from controller to service to repository."
11,Flipkart,Backend Engineer,Spring Boot and Microservices,Microservices Architecture and API Gateway,Hard,R2 - Technical,"Explain microservices architecture end-to-end: (a) What are microservices and how do services interact in a distributed system? (b) Compare synchronous REST communication vs asynchronous messaging via Kafka or RabbitMQ — when do you choose each? (c) What is an API Gateway — what role does it play (routing, auth, rate limiting, load balancing) and what are common use cases? (d) How do you design and implement a Product API — include request body, validations, and database flow."
12,Flipkart,Backend Engineer,Spring Boot and Microservices,"Rate Limiter, Saga Pattern and Design Decisions",Hard,R2 - Technical,"Explain: (a) How to implement a rate limiter in a microservices system to prevent API abuse — cover token bucket or sliding window algorithms and where to place the limiter. (b) The Saga pattern — what problem does it solve for distributed transactions, and explain the choreography vs orchestration approaches with a real-world e-commerce example. (c) How do you handle situations where a design decision such as choosing a technology or microservices pattern was challenged by your team?"
13,Flipkart,Backend Engineer,Kafka and Data Engineering,Kafka with Microservices,Medium,R1 - Technical,"Explain Kafka in the context of microservices: (a) What are the key components of Kafka — producers, consumers, topics, partitions, and brokers — and how do they work together? (b) How does Kafka integrate with microservices and how do services communicate using Kafka topics? (c) Compare Kafka-based async communication with REST-based sync communication — when would you use each in a production system?"
14,Flipkart,Backend Engineer,Database and SQL,SQL Joins and Query Writing,Medium,R1 - Technical,"Write and explain SQL queries for: (a) All types of joins — INNER, LEFT, RIGHT, FULL OUTER, CROSS, and SELF JOIN — with code snippets and the scenario where each is used. (b) Optimised query to fetch the top N records from a large table based on a condition — explain how to improve performance using indexes, LIMIT, and avoiding full table scans. (c) General SQL query writing and database management concepts."
15,Flipkart,Backend Engineer,Linux and Scripting,Linux Commands and File Operations,Easy,R1 - Technical,"Answer these Linux and scripting questions: (a) Which command creates a new directory and how do you navigate into it? (b) How do you open, edit, save, and execute a file from the Linux terminal — cover vi, nano, and bash execution. (c) What basic Linux commands do you use in development and debugging — cover ls, grep, ps, kill, tail, chmod, and curl. (d) Write a script to delete all files in a directory that were last modified more than 30 days ago — handle multiple file types using timestamps."
16,Flipkart,Backend Engineer,Linux and Scripting,Python Scripting and File Handling,Medium,R1 - Technical,"Solve these Python scripting tasks: (a) Implement functionality similar to the Linux grep command — search for a pattern in a file using Python and return matching lines. (b) Given a local file containing key-value pairs, read the file, iterate over its contents, and find a specific key-value pair. (c) Write a script to manage files in a directory containing zip files, text files, and backup files — demonstrate use of iterators and generators where applicable."
17,Flipkart,Backend Engineer,Behavioural,Project Walkthrough and Architecture,Easy,R1 - Technical,"Prepare structured answers for: (a) Brief self-introduction covering your background, role, and core strengths. (b) Walk through your key project — what problem it solved, the architecture you chose, your specific contributions, APIs worked on, and real-time challenges faced. (c) What technical or design decisions in your project had the biggest impact on the outcome and why? Use STAR format (Situation, Task, Action, Result) for each answer."
18,Flipkart,Backend Engineer,Behavioural,"Experience, Responsibilities and Ownership",Easy,R2 - Technical,"Prepare answers for: (a) Describe your role and responsibilities in your previous organisation — cover ownership areas, team size, and delivery scope. (b) Explain what you built or created independently — focus on initiative, design decisions, and impact. (c) Tell me about a complex project — the hardest technical challenge you faced, how you diagnosed it, the solution you implemented, and what you would do differently. (d) How have you used your primary language (Java, Python, or others) to solve real-world business problems?"
